standard_whisky_name,channel,price,bundle_note,source_url,dailyshot_avg_price,onnuri_mentioned,overseas_url,checked_at,store_branch
Johnnie Walker Blue Label,트레이더스,259800,,https://blog.naver.com/bliss_322/224400023536,312938,False,,2026-09-06 00:00:00,대구
Lagavulin 16 Year Old,코스트코,137900,,https://blog.naver.com/dizzo_kim/224399262896,151109,False,,2026-09-06 00:00:00,고척
Ballantine's 17 Year Old,코스트코,118900,,https://blog.naver.com/dizzo_kim/224399262896,137346,False,,2026-09-06 00:00:00,고척
Ballantine's 30 Year Old,community,259450,,https://cafe.naver.com/whiskycognac/932118,657754,False,,2026-09-11 18:20:39,
Balvenie 1931 Collection 12 Year Old,이마트,20000,,https://cafe.naver.com/wisewhisky/219733,,False,,2026-09-11 18:33:42,
Balvenie 1931 Collection 12 Year Old,community,55000,,https://cafe.naver.com/whiskycognac/932529,,False,,2026-09-11 18:33:42,
Balvenie 1931 Collection 12 Year Old,트레이더스,169800,,https://cafe.naver.com/whiskycognac/932576,,False,,2026-09-11 18:33:42,월계
Black Bottle,community,11000,,https://cafe.naver.com/whiskycognac/930008,47181,False,,2026-09-11 18:45:51,
Clynelish 14 Year Old,트레이더스,84800,,https://cafe.naver.com/whiskycognac/928800,105266,False,,2026-09-11 18:57:24,서면
Daftmill 2012 Summer,community,210000,,https://cafe.naver.com/whiskycognac/930708,365000,False,https://cafe.naver.com/whiskycognac/932566,2026-09-11 19:09:04,
Glenallachie 19 Solera Cask,community,290000,,https://cafe.naver.com/whiskycognac/928389,,False,,2026-09-11 19:20:41,
Glendronach 21 Parliament,트레이더스,458000,트레이더스 들려서 잔세트로 샀습니다. 15,https://cafe.naver.com/whiskycognac/932152,583325,True,,2026-09-11 19:32:28,들려서
Glenmorangie Signet,community,100000,,https://cafe.naver.com/whiskycognac/929924,420380,False,https://cafe.naver.com/whiskycognac/929815,2026-09-11 19:44:18,
Grant's 21 Year Old,,,,,,False,,2026-09-11 19:56:20,
Grant's Triple Wood,,,,,,False,,2026-09-11 20:07:39,
Hazelburn (Unspecified),,,,,550000,False,,2026-09-11 20:19:03,
Hazelburn 10 Year Old,,,,,360000,False,,2026-09-11 20:30:25,
Hibiki 21 Year Old,,,,,1774800,False,,2026-09-11 20:42:01,
Hibiki Chiso Edition,,,,,,False,,2026-09-11 20:54:40,
Kilkerran 16 Year Old,,,,,360000,False,,2026-09-11 21:06:18,
Kilkerran 8 Year Old Bourbon Cask Cask Strength,,,,,392666,False,,2026-09-11 21:17:35,
Kilkerran 8 Year Old Sherry Cask Cask Strength,,,,,420000,False,,2026-09-11 21:28:51,
Laphroaig 10,,,,,159310,False,https://cafe.naver.com/wisewhisky/219682,2026-09-11 21:40:38,
Macallan 12 Year Old Sherry Oak,community,20000,,https://cafe.naver.com/whiskycognac/932577,,False,,2026-09-11 21:52:19,
Macallan 18 Year Old,community,990000,,https://cafe.naver.com/whiskycognac/931942,1090000,False,,2026-09-11 22:04:21,
Macallan 18 Year Old,이마트,458000,,https://cafe.naver.com/whiskycognac/930561,1090000,False,,2026-09-11 22:04:21,
Midai Black,,,,,,False,,2026-09-11 22:15:35,
Nomad Outland Whisky,,,,,65866,False,,2026-09-11 22:27:09,
Springbank 10 Year Old,,,,,1051142,False,https://cafe.naver.com/whiskycognac/931250,2026-09-11 22:39:07,
Springbank 12 Year Old Cask Strength Batch 20,,,,,,False,https://cafe.naver.com/whiskycognac/932522,2026-09-11 22:50:41,
Springbank 15 Year Old,community,310000,,https://cafe.naver.com/wisewhisky/219497,539000,False,https://cafe.naver.com/whiskycognac/932474,2026-09-11 23:02:35,
Springbank 18 Year Old,,,,,1070000,False,https://cafe.naver.com/whiskycognac/932232,2026-09-11 23:15:25,
Ballantine's Master's,,,,,66016,False,,2026-09-11 23:20:17,
Balvenie Single Barrel 12 Year Old,community,108000,,https://cafe.naver.com/whiskycognac/932785,155360,False,,2026-09-11 23:32:42,
Chivas Regal 18 Year Old,,,,,132159,False,https://cafe.naver.com/whiskycognac/930296,2026-09-11 23:44:09,
Macallan 12 Year Old Double Cask,community,80000,,https://cafe.naver.com/whiskycognac/930506,131360,False,,2026-09-11 23:56:24,
Macallan 18 Sherry Oak,,,,,1366333,False,,2026-09-12 00:08:10,
Suntory Old Whisky,,,,,64900,False,,2026-09-12 00:19:49,
The Glenlivet 15 Year Old,,,,,245250,False,,2026-09-12 00:31:21,
Yamazaki 18 Year Old,community,230000,,https://cafe.naver.com/whiskycognac/932845,1484000,False,https://cafe.naver.com/whiskycognac/932855,2026-09-12 00:43:10,
