standard_whisky_name,image_url,source_url,license
Woodford Reserve Double Oaked,/images/whisky-thumbs/woodford-reserve-double-oaked.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/a0d25c5d-ed9e-4125-ae59-88cc302d15a3.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Jim Beam White Label,/images/whisky-thumbs/jim-beam-white-label.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/8d378157-5a01-4954-964f-45e8d4cf1103.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Four Roses Straight Bourbon,/images/whisky-thumbs/four-roses-straight-bourbon.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/65a18b42-c303-4b84-8c86-d511f04b58f2.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Johnnie Walker Green Label,/images/whisky-thumbs/johnnie-walker-green-label.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/b27f95aa-ac8a-4ebb-b0df-44689e32658e.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
1792 Small Batch Bourbon,/images/whisky-thumbs/1792-small-batch-bourbon.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/f3c2ad16-0cef-4967-a071-4fa523d4f20c.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Bulleit Bourbon,/images/whisky-thumbs/bulleit-bourbon.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/6242ccce-1095-45b4-a542-3de1f7d6530d.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Mr. Boston Straight Bourbon,/images/whisky-thumbs/mr-boston-straight-bourbon.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/7c1bc09c-51cf-4b9f-90fb-52e18f4d962b.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Wild Turkey Rare Breed,/images/whisky-thumbs/wild-turkey-rare-breed.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/7bfc8112-fa12-4c35-9475-39f126c6db2c.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Maker's Mark Cask Strength,/images/whisky-thumbs/makers-mark-cask-strength.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/cbea2e95-a01e-41f7-8e19-3120ca6cbe40.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Teacher's Highland Cream,/images/whisky-thumbs/teacher-s-highland-cream.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/84fe97a2-118d-4813-93b6-c2aebd1efc99.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Monkey Shoulder,/images/whisky-thumbs/monkey-shoulder.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/36feed36-1f37-43fc-9b27-5a75e6f497ae.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Laphroaig 10,/images/whisky-thumbs/laphroaig-10.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/9eedaac0-7b8a-4ad4-99d1-2a8be6e1f8b5.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Ardbeg 10,/images/whisky-thumbs/ardbeg-10.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/28b83359-5432-4df8-8d3e-e1a84299ece9.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Redbreast 12 Year Old,/images/whisky-thumbs/redbreast-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/0d4b8bdf-6de5-4523-8204-9e4cf5517b09.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Talisker 10 Year Old,/images/whisky-thumbs/talisker-10-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/0c1ed523-344c-43da-9e4c-a45f68229d4d.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Nikka From The Barrel,/images/whisky-thumbs/nikka-from-the-barrel.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/eb4756da-6bfc-4f93-a3e1-19307d86ab58.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Hibiki Japanese Harmony,/images/whisky-thumbs/hibiki-japanese-harmony.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/783c624c-2e4c-414f-945e-2db22507feb2.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
The Dalmore 12 Year Old,/images/whisky-thumbs/the-dalmore-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/7dd768ba-1c33-43e4-8f47-62ffc6930b28.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Bunnahabhain 12 Year Old,/images/whisky-thumbs/bunnahabhain-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/ae67d799-5936-4eed-b64a-048b9136c627.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Jameson Standard,/images/whisky-thumbs/jameson-standard.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/f2e156b0-ced8-4640-a8c9-f89aa6816167.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
The Glenlivet 15 Year Old,/images/whisky-thumbs/the-glenlivet-15-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/2e423322-8c10-4e0b-af30-0a35ec3172cc.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
The Glenlivet 18 Year Old,/images/whisky-thumbs/the-glenlivet-18-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/104e8f07-f4c9-43a8-9220-fdd455ad8edd.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Balvenie 15,/images/whisky-thumbs/balvenie-15.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/d3f32a9f-6e82-434b-ba66-470356388c67.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Tamdhu 15 Year Old,/images/whisky-thumbs/tamdhu-15-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/af466972-03c4-4d50-aec9-c97febe3b8f5.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Benromach 10 Year Old,/images/whisky-thumbs/benromach-10-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/5b83a022-8913-42fa-8625-35d2b4227bae.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Springbank 10 Year Old,/images/whisky-thumbs/springbank-10-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/9352ccfe-541d-4df5-8690-d4db165da1d9.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Johnnie Walker XR 21,/images/whisky-thumbs/johnnie-walker-xr-21.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/5a8d5528-c7b1-4e7f-97c3-653e6c207a04.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Old Forester Statesman,/images/whisky-thumbs/old-forester-statesman.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/9b314b1c-b471-4f40-9ac0-023d937d0564.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Wild Turkey Longbranch,/images/whisky-thumbs/wild-turkey-longbranch.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/c52e6553-39d9-428e-a7b2-903e171e1b07.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glendronach 18,/images/whisky-thumbs/glendronach-18.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/b71ca0c2-eee5-466b-90eb-91e63e71fcc7.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Jim Beam Black Extra Aged,/images/whisky-thumbs/jim-beam-black-extra-aged.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/5c381acd-c503-4156-a60e-91bcb02c7478.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Langs Blended Scotch Whisky,/images/whisky-thumbs/langs-blended-scotch-whisky.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/57923802-55f6-493b-9ac6-ae964cada64c.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Ki One,/images/whisky-thumbs/ki-one.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/6c33ce6d-0d1e-4b52-9a7b-652cf3ab50c3.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glenrothes 15 Year Old,/images/whisky-thumbs/glenrothes-15-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/a0b514bd-b6b6-41a5-a994-8b98fc92ce66.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Springbank 18 Year Old,/images/whisky-thumbs/springbank-18-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/56e131c5-b821-4241-a92b-2659e7fcd9b6.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Kilkerran 8 Year Old Sherry Cask Cask Strength,/images/whisky-thumbs/kilkerran-8-year-old-sherry-cask-cask-strength.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/248d0cbf-6622-4917-9806-7361552a5e38.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Balvenie 16 Year Old French Oak,/images/whisky-thumbs/balvenie-16-year-old-french-oak.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/83f37137-5e1f-4770-9435-437d0244d4c6.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Hakushu 12 Year Old,/images/whisky-thumbs/hakushu-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/d0bffdc1-01d9-43ca-96cf-f9866fb7e222.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
